Model,Inject_Type,LLM_REASON_CONSISTENT,LLM_REASON_CONSISTENT_WITH_CODE,VALID_RESPONSE,EXPLICIT_RESPONSE,LLM_MALICIOUS_RESULT
qwen3-14b,3,98.00,98.00,98.00,98.00,92.00
qwen3-32b,3,98.00,98.00,98.00,98.00,98.00
qwen3-8b,3,100.00,90.00,100.00,100.00,78.00
CodeLlama-13b-Instruct-hf,4,94.00,12.00,94.00,94.00,8.00
CodeLlama-34b-Instruct-hf,4,94.00,22.00,98.00,98.00,4.00
CodeLlama-70b-Instruct-hf,4,28.00,26.00,22.00,22.00,22.00
CodeLlama-7b-Instruct-hf,4,94.00,8.00,94.00,94.00,14.00
Llama-2-13b-chat-hf,4,92.00,28.00,96.00,96.00,0.00
Llama-2-70b-chat-hf,4,98.00,54.00,100.00,100.00,100.00
Llama-2-7b-chat-hf,4,98.00,24.00,98.00,98.00,46.00
Meta-Llama-3-70B-Instruct,4,100.00,70.00,100.00,100.00,72.00
Meta-Llama-3-8B-Instruct,4,98.00,50.00,100.00,100.00,34.00
deepseek-r1,4,92.00,98.00,100.00,100.00,22.00
deepseek-v3,4,100.00,100.00,100.00,100.00,98.00
qwen2-72b-instruct,4,96.00,78.00,100.00,100.00,34.00
qwen2-7b-instruct,4,98.00,54.00,100.00,100.00,40.00
qwen3-14b,4,100.00,98.00,100.00,100.00,96.00
qwen3-32b,4,100.00,100.00,100.00,100.00,100.00
qwen3-8b,4,100.00,92.00,100.00,100.00,90.00
CodeLlama-13b-Instruct-hf,5,100.00,6.00,98.00,98.00,16.00
CodeLlama-34b-Instruct-hf,5,92.00,30.00,98.00,98.00,0.00
CodeLlama-70b-Instruct-hf,5,36.00,26.00,28.00,28.00,34.00
CodeLlama-7b-Instruct-hf,5,98.00,4.00,98.00,98.00,6.00
Llama-2-13b-chat-hf,5,100.00,12.00,100.00,100.00,0.00
Llama-2-70b-chat-hf,5,100.00,46.00,100.00,100.00,98.00
Llama-2-7b-chat-hf,5,98.00,26.00,100.00,100.00,70.00
Meta-Llama-3-70B-Instruct,5,100.00,96.00,100.00,100.00,96.00
Meta-Llama-3-8B-Instruct,5,96.00,62.00,98.00,98.00,66.00
deepseek-r1,5,98.00,98.00,100.00,100.00,96.00
deepseek-v3,5,100.00,98.00,100.00,100.00,100.00
qwen2-72b-instruct,5,100.00,94.00,100.00,100.00,98.00
qwen2-7b-instruct,5,100.00,78.00,100.00,100.00,88.00
qwen3-14b,5,98.00,98.00,98.00,98.00,94.00
qwen3-32b,5,100.00,100.00,100.00,100.00,100.00
qwen3-8b,5,100.00,100.00,100.00,100.00,94.00
CodeLlama-13b-Instruct-hf,6,90.00,30.00,96.00,96.00,34.00
CodeLlama-34b-Instruct-hf,6,88.00,18.00,94.00,94.00,4.00
CodeLlama-70b-Instruct-hf,6,36.00,38.00,24.00,28.00,36.00
CodeLlama-7b-Instruct-hf,6,90.00,16.00,96.00,96.00,10.00
Llama-2-13b-chat-hf,6,96.00,26.00,98.00,98.00,2.00
Llama-2-70b-chat-hf,6,100.00,50.00,100.00,100.00,100.00
Llama-2-7b-chat-hf,6,96.00,18.00,96.00,98.00,44.00
Meta-Llama-3-70B-Instruct,6,100.00,90.00,100.00,100.00,92.00
Meta-Llama-3-8B-Instruct,6,98.00,76.00,98.00,100.00,82.00
deepseek-r1,6,96.00,88.00,100.00,100.00,52.00
deepseek-v3,6,100.00,100.00,100.00,100.00,100.00
qwen2-72b-instruct,6,100.00,92.00,100.00,100.00,78.00
qwen2-7b-instruct,6,96.00,70.00,100.00,100.00,60.00
qwen3-14b,6,100.00,94.00,100.00,100.00,94.00
qwen3-32b,6,100.00,98.00,100.00,100.00,100.00
qwen3-8b,6,100.00,90.00,100.00,100.00,88.00
CodeLlama-13b-Instruct-hf,7,90.00,12.00,96.00,96.00,14.00
CodeLlama-34b-Instruct-hf,7,84.00,28.00,92.00,92.00,4.00
CodeLlama-70b-Instruct-hf,7,42.00,18.00,42.00,36.00,32.00
CodeLlama-7b-Instruct-hf,7,98.00,12.00,98.00,98.00,8.00
Llama-2-13b-chat-hf,7,98.00,22.00,98.00,98.00,0.00
Llama-2-70b-chat-hf,7,100.00,58.00,100.00,100.00,96.00
Llama-2-7b-chat-hf,7,96.00,26.00,96.00,92.00,44.00
Meta-Llama-3-70B-Instruct,7,100.00,76.00,100.00,100.00,76.00
Meta-Llama-3-8B-Instruct,7,98.00,42.00,100.00,100.00,34.00
deepseek-r1,7,92.00,90.00,94.00,96.00,18.00
deepseek-v3,7,100.00,100.00,100.00,100.00,100.00
qwen2-72b-instruct,7,100.00,82.00,100.00,100.00,38.00
qwen2-7b-instruct,7,96.00,60.00,100.00,100.00,32.00
qwen3-14b,7,100.00,96.00,100.00,100.00,98.00
qwen3-32b,7,98.00,94.00,98.00,98.00,98.00
qwen3-8b,7,100.00,86.00,100.00,100.00,76.00
