LLM,Obfuscation_Level,Category,LLM_REASON_CONSISTENT,LLM_REASON_CONSISTENT_WITH_CODE,VALID_RESPONSE,EXPLICIT_RESPONSE,LLM_MALICIOUS_RESULT
qwen3-8b,word_level,benign,100.0,98.46,100.0,100.0,9.23
qwen3-8b,word_level,malicious,100.0,86.36,100.0,100.0,95.45
Llama-2-70b-chat-hf,catastrophic_level,benign,100.0,63.08,100.0,100.0,96.92
Llama-2-70b-chat-hf,catastrophic_level,malicious,100.0,57.58,100.0,100.0,100.0
Llama-2-70b-chat-hf,layout_level,benign,98.46,83.08,98.46,98.46,18.46
Llama-2-70b-chat-hf,layout_level,malicious,100.0,74.24,100.0,100.0,95.45
Llama-2-70b-chat-hf,structure_level,benign,98.46,73.85,98.46,98.46,33.85
Llama-2-70b-chat-hf,structure_level,malicious,100.0,72.73,100.0,100.0,100.0
Llama-2-70b-chat-hf,word_level,benign,92.31,20.0,93.85,93.85,83.08
Llama-2-70b-chat-hf,word_level,malicious,93.85,16.92,95.38,95.38,95.38
deepseek-v3,catastrophic_level,benign,100.0,100.0,100.0,98.46,100.0
deepseek-v3,catastrophic_level,malicious,100.0,100.0,100.0,100.0,100.0
deepseek-v3,layout_level,benign,98.46,98.46,98.46,98.46,1.54
deepseek-v3,layout_level,malicious,98.48,95.45,98.48,96.97,96.97
deepseek-v3,structure_level,benign,98.46,100.0,98.46,98.46,1.54
deepseek-v3,structure_level,malicious,100.0,98.48,98.48,98.48,95.45
deepseek-v3,word_level,benign,100.0,100.0,100.0,100.0,4.62
deepseek-v3,word_level,malicious,100.0,96.97,98.48,98.48,96.97
CodeLlama-7b-Instruct-hf,catastrophic_level,benign,95.38,35.38,100.0,100.0,55.38
CodeLlama-7b-Instruct-hf,catastrophic_level,malicious,92.42,59.09,100.0,100.0,62.12
CodeLlama-7b-Instruct-hf,layout_level,benign,98.46,84.62,98.46,100.0,7.69
CodeLlama-7b-Instruct-hf,layout_level,malicious,86.36,75.76,98.48,98.48,37.88
CodeLlama-7b-Instruct-hf,structure_level,benign,100.0,86.15,98.46,100.0,6.15
CodeLlama-7b-Instruct-hf,structure_level,malicious,90.91,69.7,100.0,100.0,25.76
CodeLlama-7b-Instruct-hf,word_level,benign,96.92,56.92,100.0,100.0,20.0
CodeLlama-7b-Instruct-hf,word_level,malicious,92.31,40.0,100.0,100.0,36.36
CodeLlama-13b-Instruct-hf,catastrophic_level,benign,89.23,60.0,90.77,89.23,44.62
CodeLlama-13b-Instruct-hf,catastrophic_level,malicious,90.91,63.64,90.91,89.39,43.94
CodeLlama-13b-Instruct-hf,layout_level,benign,96.92,81.54,96.92,96.92,15.38
CodeLlama-13b-Instruct-hf,layout_level,malicious,95.45,72.73,100.0,100.0,43.94
CodeLlama-13b-Instruct-hf,structure_level,benign,100.0,80.0,100.0,100.0,10.77
CodeLlama-13b-Instruct-hf,structure_level,malicious,95.45,80.3,100.0,100.0,37.88
CodeLlama-13b-Instruct-hf,word_level,benign,93.85,66.15,95.38,95.38,29.23
CodeLlama-13b-Instruct-hf,word_level,malicious,92.42,46.97,98.48,98.48,56.06
deepseek-r1,catastrophic_level,benign,100.0,100.0,100.0,100.0,100.0
deepseek-r1,catastrophic_level,malicious,100.0,98.48,100.0,98.48,100.0
deepseek-r1,layout_level,benign,98.46,100.0,98.46,98.46,7.69
deepseek-r1,layout_level,malicious,100.0,98.48,100.0,100.0,98.48
deepseek-r1,structure_level,benign,98.46,100.0,98.46,100.0,12.31
deepseek-r1,structure_level,malicious,100.0,96.97,100.0,100.0,98.48
deepseek-r1,word_level,benign,100.0,98.46,100.0,100.0,36.92
deepseek-r1,word_level,malicious,100.0,95.45,100.0,100.0,98.48
qwen2-7b-instruct,catastrophic_level,benign,100.0,96.92,100.0,100.0,100.0
qwen2-7b-instruct,catastrophic_level,malicious,100.0,96.97,100.0,100.0,100.0
qwen2-7b-instruct,layout_level,benign,98.46,96.92,98.46,98.46,0.0
qwen2-7b-instruct,layout_level,malicious,98.48,92.42,100.0,100.0,81.82
qwen2-7b-instruct,structure_level,benign,98.46,96.92,98.46,98.46,0.0
qwen2-7b-instruct,structure_level,malicious,96.97,86.36,100.0,100.0,66.67
qwen2-7b-instruct,word_level,benign,95.38,53.85,96.92,96.92,66.15
qwen2-7b-instruct,word_level,malicious,100.0,66.67,100.0,100.0,100.0
